Sensor_Id,Sensor_Name,Upper_Node,Bottom_Node,Index,Dist,QRush,QMax
1,F1_2_1,1,2,1,5.829,"0    0.0016
Name: Qrush, dtype: float64","0    0.0032
Name: Qmax, dtype: float64"
2,F1_2_2,1,2,2,11.657,"0    0.0016
Name: Qrush, dtype: float64","0    0.0032
Name: Qmax, dtype: float64"
3,F1_2_3,1,2,3,17.486,"0    0.0016
Name: Qrush, dtype: float64","0    0.0032
Name: Qmax, dtype: float64"
4,F1_2_4,1,2,4,23.314,"0    0.0016
Name: Qrush, dtype: float64","0    0.0032
Name: Qmax, dtype: float64"
5,F1_2_5,1,2,5,29.143,"0    0.0016
Name: Qrush, dtype: float64","0    0.0032
Name: Qmax, dtype: float64"
6,F1_2_6,1,2,6,34.971,"0    0.0016
Name: Qrush, dtype: float64","0    0.0032
Name: Qmax, dtype: float64"
7,F2_3_1,2,3,1,7.029,"1    0.0027
Name: Qrush, dtype: float64","1    0.0054
Name: Qmax, dtype: float64"
8,F2_3_2,2,3,2,14.057,"1    0.0027
Name: Qrush, dtype: float64","1    0.0054
Name: Qmax, dtype: float64"
9,F2_3_3,2,3,3,21.086,"1    0.0027
Name: Qrush, dtype: float64","1    0.0054
Name: Qmax, dtype: float64"
10,F2_3_4,2,3,4,28.114,"1    0.0027
Name: Qrush, dtype: float64","1    0.0054
Name: Qmax, dtype: float64"
11,F2_3_5,2,3,5,35.143,"1    0.0027
Name: Qrush, dtype: float64","1    0.0054
Name: Qmax, dtype: float64"
12,F2_3_6,2,3,6,42.171,"1    0.0027
Name: Qrush, dtype: float64","1    0.0054
Name: Qmax, dtype: float64"
13,F3_5_1,3,5,1,4.783,"2    0.003
Name: Qrush, dtype: float64","2    0.006
Name: Qmax, dtype: float64"
14,F3_5_2,3,5,2,9.567,"2    0.003
Name: Qrush, dtype: float64","2    0.006
Name: Qmax, dtype: float64"
15,F3_5_3,3,5,3,14.35,"2    0.003
Name: Qrush, dtype: float64","2    0.006
Name: Qmax, dtype: float64"
16,F3_5_4,3,5,4,19.133,"2    0.003
Name: Qrush, dtype: float64","2    0.006
Name: Qmax, dtype: float64"
17,F3_5_5,3,5,5,23.917,"2    0.003
Name: Qrush, dtype: float64","2    0.006
Name: Qmax, dtype: float64"
18,F5_6_1,5,6,1,5.517,"4    0.0046
Name: Qrush, dtype: float64","4    0.0092
Name: Qmax, dtype: float64"
19,F5_6_2,5,6,2,11.033,"4    0.0046
Name: Qrush, dtype: float64","4    0.0092
Name: Qmax, dtype: float64"
20,F5_6_3,5,6,3,16.55,"4    0.0046
Name: Qrush, dtype: float64","4    0.0092
Name: Qmax, dtype: float64"
21,F5_6_4,5,6,4,22.067,"4    0.0046
Name: Qrush, dtype: float64","4    0.0092
Name: Qmax, dtype: float64"
22,F5_6_5,5,6,5,27.583,"4    0.0046
Name: Qrush, dtype: float64","4    0.0092
Name: Qmax, dtype: float64"
23,F4_5_1,4,5,1,7.243,"3    0.0012
Name: Qrush, dtype: float64","3    0.0024
Name: Qmax, dtype: float64"
24,F4_5_2,4,5,2,14.486,"3    0.0012
Name: Qrush, dtype: float64","3    0.0024
Name: Qmax, dtype: float64"
25,F4_5_3,4,5,3,21.729,"3    0.0012
Name: Qrush, dtype: float64","3    0.0024
Name: Qmax, dtype: float64"
26,F4_5_4,4,5,4,28.971,"3    0.0012
Name: Qrush, dtype: float64","3    0.0024
Name: Qmax, dtype: float64"
27,F4_5_5,4,5,5,36.214,"3    0.0012
Name: Qrush, dtype: float64","3    0.0024
Name: Qmax, dtype: float64"
28,F4_5_6,4,5,6,43.457,"3    0.0012
Name: Qrush, dtype: float64","3    0.0024
Name: Qmax, dtype: float64"
29,F6_8_1,6,8,1,5.45,"5    0.0054
Name: Qrush, dtype: float64","5    0.0108
Name: Qmax, dtype: float64"
30,F6_8_2,6,8,2,10.9,"5    0.0054
Name: Qrush, dtype: float64","5    0.0108
Name: Qmax, dtype: float64"
31,F6_8_3,6,8,3,16.35,"5    0.0054
Name: Qrush, dtype: float64","5    0.0108
Name: Qmax, dtype: float64"
32,F6_8_4,6,8,4,21.8,"5    0.0054
Name: Qrush, dtype: float64","5    0.0108
Name: Qmax, dtype: float64"
33,F6_8_5,6,8,5,27.25,"5    0.0054
Name: Qrush, dtype: float64","5    0.0108
Name: Qmax, dtype: float64"
34,F8_20_1,8,20,1,3.467,"7    0.0064
Name: Qrush, dtype: float64","7    0.0128
Name: Qmax, dtype: float64"
35,F8_20_2,8,20,2,6.933,"7    0.0064
Name: Qrush, dtype: float64","7    0.0128
Name: Qmax, dtype: float64"
36,F8_20_3,8,20,3,10.4,"7    0.0064
Name: Qrush, dtype: float64","7    0.0128
Name: Qmax, dtype: float64"
37,F8_20_4,8,20,4,13.867,"7    0.0064
Name: Qrush, dtype: float64","7    0.0128
Name: Qmax, dtype: float64"
38,F8_20_5,8,20,5,17.333,"7    0.0064
Name: Qrush, dtype: float64","7    0.0128
Name: Qmax, dtype: float64"
39,F7_8_1,7,8,1,7.586,"6    0.0008
Name: Qrush, dtype: float64","6    0.0016
Name: Qmax, dtype: float64"
40,F7_8_2,7,8,2,15.171,"6    0.0008
Name: Qrush, dtype: float64","6    0.0016
Name: Qmax, dtype: float64"
