Sensor_Id,Sensor_Name,Upper_Node,Bottom_Node,Index,Dist,QRush,QMax
1,F1_2_1,1,2,1,5.829,0.0016,0.0032
2,F1_2_2,1,2,2,11.657,0.0016,0.0032
3,F1_2_3,1,2,3,17.486,0.0016,0.0032
4,F1_2_4,1,2,4,23.314,0.0016,0.0032
5,F1_2_5,1,2,5,29.143,0.0016,0.0032
6,F1_2_6,1,2,6,34.971,0.0016,0.0032
7,F2_3_1,2,3,1,7.029,0.0027,0.0054
8,F2_3_2,2,3,2,14.057,0.0027,0.0054
9,F2_3_3,2,3,3,21.086,0.0027,0.0054
10,F2_3_4,2,3,4,28.114,0.0027,0.0054
11,F2_3_5,2,3,5,35.143,0.0027,0.0054
12,F2_3_6,2,3,6,42.171,0.0027,0.0054
13,F3_5_1,3,5,1,4.783,0.003,0.006
14,F3_5_2,3,5,2,9.567,0.003,0.006
15,F3_5_3,3,5,3,14.35,0.003,0.006
16,F3_5_4,3,5,4,19.133,0.003,0.006
17,F3_5_5,3,5,5,23.917,0.003,0.006
18,F5_6_1,5,6,1,5.517,0.0046,0.0092
19,F5_6_2,5,6,2,11.033,0.0046,0.0092
20,F5_6_3,5,6,3,16.55,0.0046,0.0092
21,F5_6_4,5,6,4,22.067,0.0046,0.0092
22,F5_6_5,5,6,5,27.583,0.0046,0.0092
23,F4_5_1,4,5,1,7.243,0.0012,0.0024
24,F4_5_2,4,5,2,14.486,0.0012,0.0024
25,F4_5_3,4,5,3,21.729,0.0012,0.0024
26,F4_5_4,4,5,4,28.971,0.0012,0.0024
27,F4_5_5,4,5,5,36.214,0.0012,0.0024
28,F4_5_6,4,5,6,43.457,0.0012,0.0024
29,F6_8_1,6,8,1,5.45,0.0054,0.0108
30,F6_8_2,6,8,2,10.9,0.0054,0.0108
31,F6_8_3,6,8,3,16.35,0.0054,0.0108
32,F6_8_4,6,8,4,21.8,0.0054,0.0108
33,F6_8_5,6,8,5,27.25,0.0054,0.0108
34,F8_20_1,8,20,1,3.467,0.0064,0.0128
35,F8_20_2,8,20,2,6.933,0.0064,0.0128
36,F8_20_3,8,20,3,10.4,0.0064,0.0128
37,F8_20_4,8,20,4,13.867,0.0064,0.0128
38,F8_20_5,8,20,5,17.333,0.0064,0.0128
39,F7_8_1,7,8,1,7.586,0.0008,0.0016
40,F7_8_2,7,8,2,15.171,0.0008,0.0016
41,F7_8_3,7,8,3,22.757,0.0008,0.0016
42,F7_8_4,7,8,4,30.343,0.0008,0.0016
43,F7_8_5,7,8,5,37.929,0.0008,0.0016
44,F7_8_6,7,8,6,45.514,0.0008,0.0016
45,F20_21_1,20,21,1,5.192,0.0066,0.0132
46,F20_21_2,20,21,2,10.383,0.0066,0.0132
47,F20_21_3,20,21,3,15.575,0.0066,0.0132
48,F20_21_4,20,21,4,20.767,0.0066,0.0132
49,F20_21_5,20,21,5,25.958,0.0066,0.0132
50,F9_10_1,9,10,1,5.75,0.0017,0.0034
51,F9_10_2,9,10,2,11.5,0.0017,0.0034
52,F9_10_3,9,10,3,17.25,0.0017,0.0034
53,F9_10_4,9,10,4,23.0,0.0017,0.0034
54,F9_10_5,9,10,5,28.75,0.0017,0.0034
55,F10_11_1,10,11,1,5.829,0.0028,0.0056
56,F10_11_2,10,11,2,11.657,0.0028,0.0056
57,F10_11_3,10,11,3,17.486,0.0028,0.0056
58,F10_11_4,10,11,4,23.314,0.0028,0.0056
59,F10_11_5,10,11,5,29.143,0.0028,0.0056
60,F10_11_6,10,11,6,34.971,0.0028,0.0056
61,F11_12_1,11,12,1,5.9,0.0035,0.007
62,F11_12_2,11,12,2,11.8,0.0035,0.007
63,F11_12_3,11,12,3,17.7,0.0035,0.007
64,F11_12_4,11,12,4,23.6,0.0035,0.007
65,F11_12_5,11,12,5,29.5,0.0035,0.007
66,F12_14_1,12,14,1,6.629,0.0044,0.0088
67,F12_14_2,12,14,2,13.257,0.0044,0.0088
68,F12_14_3,12,14,3,19.886,0.0044,0.0088
